source_internal_reference,modbus_export_reference
1.72.0,5.1.1.0
1.67.0,5.1.2.0
1.70.0,5.1.3.0
1.103.0,5.1.4.0
1.106.0,5.1.5.0
1.216.0,5.1.6.0
1.101.0,5.1.7.0
1.174.0,5.1.9.0
1.99.0,5.1.10.0
1.71.0,5.1.11.0
1.97.0,5.1.12.0
1.243.0,5.1.13.0
1.247.0,5.1.14.0
1.246.0,5.1.15.0
1.244.0,5.1.16.0
1.245.0,5.1.17.0
1.105.0,5.1.18.0
1.189.0,5.1.19.0
1.187.0,5.1.20.0
1.188.0,5.1.21.0
1.98.0,5.1.22.0
1.68.0,5.1.23.0
10.5.0,5.1.27.0
10.22.0,5.1.28.0
10.1.0,5.1.29.0
10.18.0,5.1.30.0
10.19.0,5.1.31.0
2.8.81.0,5.1.32.0
2.5.81.0,5.1.33.0
2.4.81.0,5.1.34.0
2.3.81.0,5.1.35.0
2.2.81.0,5.1.36.0
2.1.81.0,5.1.37.0
2.6.81.0,5.1.38.0
2.7.81.0,5.1.39.0
4.12.113.0,5.1.40.0
4.12.114.0,5.1.41.0
4.12.112.0,5.1.42.0
4.12.64.0,5.1.43.0
4.12.107.0,5.1.44.0
4.12.70.0,5.1.45.0
4.12.103.0,5.1.46.0
4.12.106.0,5.1.47.0
4.12.110.0,5.1.48.0
4.12.111.0,5.1.49.0
4.12.71.0,5.1.50.0
4.12.115.0,5.1.51.0
4.12.119.0,5.1.52.0
4.13.113.0,5.1.60.0
4.13.114.0,5.1.61.0
4.13.112.0,5.1.62.0
4.13.64.0,5.1.63.0
4.13.107.0,5.1.64.0
4.13.70.0,5.1.65.0
4.13.103.0,5.1.66.0
4.13.106.0,5.1.67.0
4.13.110.0,5.1.68.0
4.13.111.0,5.1.69.0
4.13.71.0,5.1.70.0
4.13.115.0,5.1.71.0
4.13.119.0,5.1.72.0
4.14.113.0,5.1.80.0
4.14.114.0,5.1.81.0
4.14.112.0,5.1.82.0
4.14.64.0,5.1.83.0
4.14.107.0,5.1.84.0
4.14.70.0,5.1.85.0
4.14.103.0,5.1.86.0
4.14.106.0,5.1.87.0
4.14.110.0,5.1.88.0
4.14.111.0,5.1.89.0
4.14.71.0,5.1.90.0
4.14.115.0,5.1.91.0
4.14.119.0,5.1.92.0
4.15.113.0,5.1.100.0
4.15.114.0,5.1.101.0
4.15.112.0,5.1.102.0
4.15.64.0,5.1.103.0
4.15.107.0,5.1.104.0
4.15.70.0,5.1.105.0
4.15.103.0,5.1.106.0
4.15.142.0,5.1.107.0
4.15.106.0,5.1.108.0
4.15.110.0,5.1.109.0
4.15.111.0,5.1.110.0
4.15.71.0,5.1.111.0
4.15.97.0,5.1.112.0
4.15.115.0,5.1.113.0
4.15.119.0,5.1.114.0
4.16.113.0,5.1.122.0
4.16.114.0,5.1.123.0
4.16.112.0,5.1.124.0
4.16.64.0,5.1.125.0
4.16.107.0,5.1.126.0
4.16.70.0,5.1.127.0
4.16.103.0,5.1.128.0
4.16.142.0,5.1.129.0
4.16.106.0,5.1.130.0
4.16.110.0,5.1.131.0
4.16.111.0,5.1.132.0
4.16.71.0,5.1.133.0
4.16.97.0,5.1.134.0
4.16.115.0,5.1.135.0
4.16.119.0,5.1.136.0
4.10.3.81.0,5.1.310.0
4.10.3.84.0,5.1.311.0
4.10.3.83.0,5.1.312.0
4.10.3.107.0,5.1.313.0
4.10.3.103.0,5.1.314.0
4.10.2.81.0,5.1.318.0
4.10.2.84.0,5.1.319.0
4.10.2.83.0,5.1.320.0
4.10.2.107.0,5.1.321.0
4.10.2.103.0,5.1.322.0
4.10.1.81.0,5.1.370.0
4.10.1.84.0,5.1.371.0
4.10.1.83.0,5.1.372.0
4.10.1.107.0,5.1.373.0
4.10.1.103.0,5.1.374.0
4.10.4.81.0,5.1.380.0
4.10.4.84.0,5.1.381.0
4.10.4.83.0,5.1.382.0
4.10.4.107.0,5.1.383.0
4.10.4.103.0,5.1.384.0
4.10.8.81.0,5.1.385.0
4.10.8.84.0,5.1.386.0
4.10.8.83.0,5.1.387.0
4.10.8.107.0,5.1.388.0
4.10.8.103.0,5.1.389.0
4.10.7.81.0,5.1.390.0
4.10.7.84.0,5.1.391.0
4.10.7.83.0,5.1.392.0
4.10.7.107.0,5.1.393.0
4.10.7.103.0,5.1.394.0
4.10.5.81.0,5.1.395.0
4.10.5.84.0,5.1.396.0
4.10.5.83.0,5.1.397.0
4.10.5.107.0,5.1.398.0
4.10.5.103.0,5.1.399.0
4.10.6.81.0,5.1.400.0
4.10.6.84.0,5.1.401.0
4.10.6.83.0,5.1.402.0
4.10.6.107.0,5.1.403.0
4.10.6.103.0,5.1.404.0
4.11.5.81.0,5.1.425.0
4.11.5.84.0,5.1.426.0
4.11.5.83.0,5.1.427.0
4.11.5.107.0,5.1.428.0
4.11.5.103.0,5.1.429.0
4.11.6.81.0,5.1.431.0
4.11.6.84.0,5.1.432.0
4.11.6.83.0,5.1.433.0
4.11.6.107.0,5.1.434.0
4.11.6.103.0,5.1.435.0
2.3.81.0,5.1.480.0
2.3.103.0,5.1.481.0
2.5.81.0,5.1.482.0
2.5.103.0,5.1.483.0
2.2.81.0,5.1.484.0
2.2.103.0,5.1.485.0
2.1.81.0,5.1.486.0
2.1.103.0,5.1.487.0
2.4.81.0,5.1.490.0
2.4.103.0,5.1.491.0
